654223,6664860,15 R MAYET GENETRY,
654319,6664963,27 R PORTE JAUNE,
654841,6664186,57 R JEAN BAFFIER,
654833,6664192,55 R JEAN BAFFIER,
654849,6664180,61 R JEAN BAFFIER,
654859,6664173,63 R JEAN BAFFIER,
655810,6665040,202 R CHARLET,
655772,6665042,194 R CHARLET,
655365,6663652,6 AV DE DUN-SUR-AURON,
653357,6665534,30 AV D'ORLEANS,
655912,6665023,133 R CHARLET,
655880,6665025,210 R CHARLET,
652688,6664693,124 R LOUIS MALLET,
656474,6666315,2 CANTONNEMENT PORT SEC,
652584,6665110,26 CHE DE VAUVERT,
652610,6665097,24 CHE DE VAUVERT,
655972,6664302,22 R JOUANNET,
654985,6665031,45 CHE DES COMMUNES,
653621,6662468,8 ALL DES TOURNESOLS,
653633,6662431,4 ALL DES TOURNESOLS,
653957,6665405,13 R NOTRE DAME,
653786,6665213,24 R LITTRE,
655142,6663470,52 R DE GIONNE,
655163,6663440,13 R DE GIONNE,
655784,6668012,24 AV DU MARECHAL LYAUTEY,
655779,6668003,22 AV DU MARECHAL LYAUTEY,
653730,6665104,3 R MABLY,
656366,6668006,10 R JEAN L'HERMINIER,
652631,6664986,6 R MAURICE RAVEL,
654492,6667192,13 R LOUIS LUMIERE,
653648,6663917,114 R BARBES,
653805,6664609,0 R D'AURON,
653787,6664590,109 R D'AURON,
654849,6666390,56 AV DU GENERAL DE GAULLE,
654850,6666419,31 AV DU GENERAL DE GAULLE,
653286,6663930,0 R DES VALLONS,
653295,6663926,5 R DES VALLONS,
652000,6664540,17 CHE TORTU,
652781,6663760,6 CLOS DU VERGER,
652764,6663781,5 CLOS DU VERGER,
653885,6664566,3 R DU CHARIOT,
656116,6664661,4 IMP CHAMPMARTIN,
656094,6664659,8 IMP CHAMPMARTIN,
656105,6664660,6 IMP CHAMPMARTIN,
656048,6664653,14 IMP CHAMPMARTIN,
653943,6664791,2 R DES 3 BOURSES,
653933,6664794,1 R DES 3 BOURSES,
653471,6662968,101 AV DE SAINT-AMAND,
653462,6662966,156 AV DE SAINT-AMAND,
654415,6668230,76 RTE DES COULANGIS,
654423,6668226,77 RTE DES COULANGIS,
653421,6663144,11 R BENOIT MALON,
653735,6663296,70 R DE MAZIERES,
655868,6663107,22 CHE DE BLET,
655979,6663023,48 CHE DE BLET,
654547,6664169,59 R DE SERAUCOURT,
654561,6664141,45 R DE SERAUCOURT,
650923,6662343,235 CHE DE VILLENEUVE,
653269,6665040,0 LE PRADO,
654266,6665169,5 R DU CHARRIER,
654245,6665182,3 R DU CHARRIER,
655465,6667010,22 R STEPHANE MALLARME,
655074,6669027,46 R GAUCHERE,
654547,6660863,0 CHT DE GERMIGNY,
655055,6664014,82 R JEAN BAFFIER,
653440,6663576,1 ALL HENRI GUILLAUMET,
655084,6663991,84 R JEAN BAFFIER,
654479,6662413,34 R HAUTE,
654479,6662413,26 R HAUTE,
654479,6662413,16 R HAUTE,
654479,6662413,36 R HAUTE,
654479,6662413,2 R HAUTE,
655383,6666466,43 R DE TURLY,
654479,6662413,3 R HAUTE,
654479,6662413,10 R HAUTE,
653445,6664186,13 R DIDEROT,
654479,6662413,1 R HAUTE,
654299,6669609,60 R FRANCOIS COILLARD,
654413,6669530,24 R FRANCOIS COILLARD,
654479,6662413,11 R HAUTE,
654479,6662413,20 R HAUTE,
654479,6662413,4 R HAUTE,
654479,6662413,9 R HAUTE,
654479,6662413,28 R HAUTE,
654479,6662413,18 R HAUTE,
654479,6662413,8 R HAUTE,
654479,6662413,13 R HAUTE,
653710,6664590,21 BD D'AURON,
654372,6669547,41 R FRANCOIS COILLARD,
654479,6662413,14 R HAUTE,
654479,6662413,12 R HAUTE,
654479,6662413,30 R HAUTE,
654479,6662413,32 R HAUTE,
654479,6662413,5 R HAUTE,
654479,6662413,24 R HAUTE,
654479,6662413,6 R HAUTE,
655194,6667327,24 R GAY LUSSAC,
655414,6666476,38 R DE TURLY,
654479,6662413,7 R HAUTE,
655383,6666466,43 R DE TURLY,
654479,6662413,22 R HAUTE,
655383,6666466,43 R DE TURLY,
650688,6662246,266 CHE DE VILLENEUVE,
655412,6669405,0 COUR FRANCOIS BAILLY,
655467,6667331,3 AV STENDHAL,
655467,6667331,1 AV STENDHAL,
652055,6663588,0 LES BOULOISES,
654234,6665293,62 R MIREBEAU,
654242,6665297,61 R MIREBEAU,
656688,6664591,35 AV DES DUMONES,
655664,6663293,29 AV DE DUN SUR AURON,
652635,6664695,77 R LOUIS MALLET,
652598,6664703,89 R LOUIS MALLET,
652579,6664707,91 R LOUIS MALLET,
650468,6664673,8 R ZULMA CARRAUD,
653589,6663388,0 R JULES GUESDE,
653568,6663379,2 R JULES GUESDE,
656181,6664560,72 R DE LAPPARENT,
656181,6664575,72 R DE LAPPARENT,
654601,6665796,2 R GILBERT BAILLY,
652039,6664692,8 CHE TORTU,
653698,6663583,4 R DES PERVENCHES,
653995,6665850,3 AV HENRI LAUDIER,
653995,6665850,3 AV HENRI LAUDIER,
653995,6665850,3 AV HENRI LAUDIER,
653995,6665850,3 AV HENRI LAUDIER,
656254,6667579,17 R EDME BOICHE,
656317,6667502,2 R EDME BOICHE,
18000,652006,0 CHAMP DES PONTS DE BANNEGON,
654138,6665236,9 R EDOUARD BRANLY,
657610,6664997,177 AV FRANCOIS MITTERRAND,
649830,6659901,10 R DES COQUELICOTS,
649800,6659892,5 R DES COQUELICOTS,
653823,6665384,7 R DU PONT MERLAN,
654679,6664492,9 R EMILE MARTIN,
654575,6665027,5 R MONTCENOUX,
653979,6665633,58 AV JEAN JAURES,
654758,6664612,43 R DE SARREBOURG,
654799,6664610,14 R DE SARREBOURG,
654889,6664632,20 R DE SARREBOURG,
654778,6664615,51 R DE SARREBOURG,
653169,6663676,75 R DIDEROT,
653912,6664840,11 R DES 3 BOURSES,
653189,6663706,68 R DIDEROT,
655622,6663344,17 AV DE DUN SUR AURON,
655609,6663360,13 AV DE DUN SUR AURON,
653176,6663670,93 R DIDEROT,
655505,6668010,92 R DES FRERES MICHELIN,
653980,6669825,11 LES SABLES DE LAURAINE,
653059,6665005,9 R DU PRE DOULET,
654308,6667075,18 CHE DES MAISONS ROUGES,
654586,6663900,8 R JEANNE D'ARC,
654498,6663891,20 R JEANNE D'ARC,
654503,6663894,18 R JEANNE D'ARC,
655604,6664662,8 R  MAURICE ROY,
654889,6666491,80 AV DU GENERAL DE GAULLE,
656919,6667205,138 R DE TURLY,
656919,6667205,138 R DE TURLY,
655617,6664648,9 R  MAURICE ROY,
650810,6662302,148 CHE DE VILLENEUVE,
654937,6663746,9 R DE L'ABBE MOREUX,
653828,6664855,7 R DU SECRETAIN,
654264,6665414,30 CRS AVARICUM,
654264,6665414,20 CRS AVARICUM,
653814,6664890,32 R DU SECRETAIN,
653940,6665445,19 AV JEAN JAURES,
654515,6664948,1 IMP DES JUIFS,
654701,6662204,181 R DE LAZENAY,
656210,6666804,2 ALL DES COLLEGES,
654609,6665162,20 BD GEORGES CLEMENCEAU,
654260,6665239,30 R EDOUARD BRANLY,
654260,6665239,32 R EDOUARD BRANLY,
653863,6669270,0 CHE DE L'EPINIERE,
654771,6663293,47 R GARCIN,
654161,6664782,7 PL DE LA PREFECTURE,
653997,6665438,6 R GUILLAUME DE VARYE,
654597,6666472,2 R CUVIER,
654582,6666451,2 R CUVIER,
654934,6667393,3 R PAUL CRAVAYAT,
655324,6667103,2 AV DU MARECHAL DE LATTRE DE TASSIGNY,
653755,6664717,33 R DE LA CHAPPE,
653589,6665096,7 R DE L'ILE D'OR,
653587,6665177,16 R DE L'ILE D'OR,
655873,6664754,0 R EMILE HILAIRE AMAGAT,
653619,6665016,2 R DE L'ILE D'OR,
653580,6665164,11 R DE L'ILE D'OR,
653918,6665375,12 R DU PUITS DE JOUVENCE,
657596,6664693,6 R MARTIN SIEMENS,
655712,6668231,311 AV DU GENERAL DE GAULLE,
657596,6664693,1 R MARTIN SIEMENS,
654016,6664628,11 R FULTON,
655706,6666928,35 R PAUL VERLAINE,
652988,6663249,31 BD JEAN MERMOZ,
653856,6664798,9 R DE LA CHAPPE,
656424,6664980,40 AV PIERRE BEREGOVOY,
653495,6664463,10 R LOUIS MALLET,
653487,6664458,21 R LOUIS MALLET,
655631,6665054,164 R CHARLET,
654257,6664822,36 R MOYENNE,
654682,6665907,1 R DE BABYLONE,
656038,6664009,5 ALL NAPOLEON III,
656038,6664010,0 ALL NAPOLEON III,
652957,6663498,12 AV DES FRERES VOISIN,
652957,6663498,12 AV DES FRERES VOISIN,
652957,6663498,12 AV DES FRERES VOISIN,
654144,6665544,10 R VOLTA,
654422,6665366,38 R EDOUARD VAILLANT,
653684,6663954,2 R JOSEPH BRUNET,
654148,6664285,20 R HENRI SELLIER,
653043,6664467,8 R MARGUERITE AUDOUX,
654502,6664896,81 R BOURBONNOUX,
656118,6662674,206 AV DE DUN-SUR-AURON,
656112,6662698,127 AV DE DUN-SUR-AURON,
655328,6666548,114 AV ARNAUD DE VOGUE,
654728,6665056,6 R CHARLET,
655930,6666392,71 AV DU MARECHAL DE LATTRE DE TASSIGNY,
655328,6666548,114 AV ARNAUD DE VOGUE,
655328,6666548,114 AV ARNAUD DE VOGUE,
654731,6665065,5 R CHARLET,
654616,6665368,33 R GALILEE,
654471,6664984,2 R DE LA THAUMASSIERE,
654085,6662817,7 R MARCEL ET RENE CHERRIER,
654088,6662802,9 R MARCEL ET RENE CHERRIER,
653877,6667638,0 LE PRE MARET,
653503,6664300,51 R LA FONTAINE,
653541,6664290,47 R LA FONTAINE,
655464,6664806,58 BD LAHITOLLE,
655220,6664968,8 R DES DAHLIAS,
654792,6666240,26 AV DU GENERAL DE GAULLE,
654761,6666155,2 AV DU GENERAL DE GAULLE,
655792,6666600,61 AV DU MARECHAL DE LATTRE DE TASSIGNY,
655767,6666647,63 AV DU MARECHAL DE LATTRE DE TASSIGNY,
655468,6662095,129 R DE LA ROTTEE,
655140,6666416,76 AV ARNAUD DE VOGUE,
650283,6664265,36 RLE DES GATS,
653731,6663800,88 R THEOPHILE LAMY,
654286,6664896,7 R LOUIS PAULIAT,
654249,6664877,1 R LOUIS PAULIAT,
653985,6665579,4 R VOLTA,
656175,6666253,201 RTE DE LA CHARITE,
653982,6665588,1 R VOLTA,
654057,6665573,9 R VOLTA,
655398,6663311,27 R DU 1ER REGIMENT D'ARTILLERIE,
653701,6665338,42 R GAMBON,
656538,6664856,1 ALL DES HELLEBORES,
655829,6666000,0 MARAIS DE SAINT URSIN,
651114,6662119,38 R CHARLES DURAND,
655010,6662297,1 R HIPPOLYTE BOYER,
654168,6666442,4 IMP FELIX CHEDIN,
658930,6665064,307 RTE DE NEVERS,
655626,6664911,87 AV ERNEST RENAN,
655853,6663044,63 AV DE DUN-SUR-AURON,
655815,6663091,53 AV DE DUN-SUR-AURON,
655832,6663070,57 AV DE DUN-SUR-AURON,
655853,6663029,146 AV DE DUN-SUR-AURON,
655473,6663292,25 ALL DES AVERDINES,
654256,6664929,12 R MICHEL DE BOURGES,
654229,6664916,2 R MICHEL DE BOURGES,
653442,6664262,66 R JEAN JACQUES ROUSSEAU,
654553,6663776,4 IMP BERAUD,
655372,6664281,13 R JOUBERT,
654894,6664793,37 R NICOLAS LEBLANC,
656928,6660222,0 R DES JARDINS,
656981,6660187,0 R DES JARDINS,
656824,6664611,51 AV DES DUMONES,
654652,6664513,3 R EMILE MARTIN,
653417,6664138,10 R DIDEROT,
654639,6664140,14 R DU CHATEAU D'EAU,
655290,6669344,17 R RASPAIL,
654272,6665949,3 PL PIERRE DE COUBERTIN,
654925,6666096,4 CHE DES 4 PELLES,
654352,6668329,1 LES GRANDS COULANGIS,
652730,6664174,61 RTE DE LA CHAPELLE,
652730,6664174,61 RTE DE LA CHAPELLE,
652730,6664174,61 RTE DE LA CHAPELLE,
656506,6667922,21 R PIERRE BROSSOLETTE,
654216,6665368,4 R VIALA,
655307,6665066,25 R CHARLET,
655256,6665060,19 R CHARLET,
654318,6665257,87 R MIREBEAU,
653899,6664575,43 R FULTON,
