date:1478353995,lat:47.08240202,long:2.41550857;
date:1478354005,lat:47.08240262,long:2.41550855;
date:1478354015,lat:47.08240262,long:2.41550855;
date:1478354025,lat:47.08238149,long:2.41558743;
date:1478354035,lat:47.0823853,long:2.41559246;
date:1478354045,lat:47.0823873,long:2.41559306;
date:1478354056,lat:47.08238709,long:2.41559328;
date:1478354066,lat:47.08238627,long:2.41559433;
date:1478354076,lat:47.08238622,long:2.41559436;
date:1478354086,lat:47.08238587,long:2.41559398;
date:1478354096,lat:47.08238572,long:2.41559365;
date:1478354106,lat:47.08238669,long:2.41559386;
date:1478354116,lat:47.08238039,long:2.41559109;
date:1478354126,lat:47.0823743,long:2.415588;
date:1478354136,lat:47.08237405,long:2.41558845;
date:1478354146,lat:47.08237343,long:2.41558505;
date:1478354156,lat:47.08237372,long:2.41558519;
date:1478354166,lat:47.08237478,long:2.41558481;
date:1478354176,lat:47.08237478,long:2.41558481;
date:1478354186,lat:47.08240546,long:2.41563357;
date:1478354196,lat:47.08240616,long:2.41562883;
date:1478354206,lat:47.08240972,long:2.41563278;
date:1478354216,lat:47.08240946,long:2.41563105;
date:1478354226,lat:47.0824093,long:2.41563072;
date:1478354236,lat:47.0824103,long:2.41562992;
date:1478354246,lat:47.08241017,long:2.41563049;
date:1478354256,lat:47.08241011,long:2.41563042;
date:1478354266,lat:47.08240967,long:2.41563114;
date:1478354276,lat:47.08240947,long:2.41563106;
date:1478354286,lat:47.08240898,long:2.415631;
date:1478354296,lat:47.0824082,long:2.4156304;
date:1478354306,lat:47.08240821,long:2.41563036;
date:1478354316,lat:47.08240816,long:2.41563052;
date:1478354326,lat:47.08240836,long:2.41563058;
date:1478354336,lat:47.0824084,long:2.41563022;
date:1478354346,lat:47.08240807,long:2.41562983;
date:1478354356,lat:47.08240684,long:2.41563002;
date:1478354366,lat:47.08240701,long:2.41562998;
date:1478354376,lat:47.08240677,long:2.41562983;
date:1478354386,lat:47.08240682,long:2.41562985;
date:1478354396,lat:47.08240724,long:2.415629;
date:1478354406,lat:47.08240695,long:2.41562852;
date:1478354416,lat:47.08240695,long:2.41562844;
date:1478354426,lat:47.08240646,long:2.41562858;
date:1478354436,lat:47.08240621,long:2.41562867;
date:1478354447,lat:47.08240637,long:2.41562829;
date:1478354457,lat:47.08240661,long:2.41562803;
date:1478354467,lat:47.08240659,long:2.41562792;
date:1478354477,lat:47.0824062,long:2.41562828;
date:1478354487,lat:47.08240623,long:2.41562824;
date:1478354497,lat:47.08240583,long:2.4156279;
date:1478354507,lat:47.08240575,long:2.41562786;
date:1478354517,lat:47.08240492,long:2.41562792;
date:1478354527,lat:47.08240465,long:2.41562781;
date:1478354537,lat:47.08240487,long:2.41562769;
date:1478354547,lat:47.08240604,long:2.41562785;
date:1478354557,lat:47.08240608,long:2.41562765;
date:1478354567,lat:47.08240639,long:2.41562728;
date:1478354577,lat:47.0824063,long:2.41562763;
date:1478354587,lat:47.08240624,long:2.41562754;
date:1478354597,lat:47.0824063,long:2.41562803;
date:1478354607,lat:47.08240634,long:2.41562791;
date:1478354617,lat:47.08240713,long:2.41562776;
date:1478354627,lat:47.0824071,long:2.41562775;
date:1478354637,lat:47.0824071,long:2.41562775;
date:1478354647,lat:47.0824071,long:2.41562775;
date:1478354657,lat:47.0824071,long:2.41562775;
date:1478354667,lat:47.082401,long:2.41563032;
date:1478354677,lat:47.08240137,long:2.41563088;
date:1478354687,lat:47.08239799,long:2.41563173;
date:1478354697,lat:47.08238556,long:2.41577672;
date:1478354707,lat:47.08238556,long:2.41577672;
date:1478354717,lat:47.08244618,long:2.41577351;
date:1478354727,lat:47.08256551,long:2.41554771;
date:1478354737,lat:47.0825266,long:2.41536548;
date:1478354747,lat:47.0824981,long:2.41516918;
date:1478354757,lat:47.08245953,long:2.41499126;
date:1478354767,lat:47.08245705,long:2.41495442;
date:1478354777,lat:47.08249227,long:2.41458344;
date:1478354787,lat:47.08240412,long:2.41428157;
date:1478354797,lat:47.08233734,long:2.41400976;
date:1478354807,lat:47.0822714,long:2.41392448;
date:1478354817,lat:47.0822394,long:2.41387268;
date:1478354828,lat:47.08218701,long:2.4135456;
date:1478354838,lat:47.08227962,long:2.41336075;
date:1478354848,lat:47.08220186,long:2.41318475;
date:1478354858,lat:47.08218896,long:2.41297775;
date:1478354868,lat:47.08218153,long:2.41271526;
date:1478354878,lat:47.08212912,long:2.41260972;
date:1478354888,lat:47.08205248,long:2.41234537;
date:1478354898,lat:47.08196948,long:2.41229451;
date:1478354908,lat:47.08201789,long:2.41202387;
date:1478354918,lat:47.08193987,long:2.41178166;
date:1478354928,lat:47.08192516,long:2.41159332;
date:1478354938,lat:47.08192679,long:2.41146178;
date:1478354948,lat:47.08185235,long:2.41116502;
date:1478354958,lat:47.08178185,long:2.41118914;
date:1478354968,lat:47.08167007,long:2.41118733;
date:1478354978,lat:47.08157485,long:2.41087896;
